id,repo,issue_number,title,text,url,created_at
1,pallets/flask,5902,Improve alt text for Debug Mode interactive debugger image (accessibility),"Improve alt text for Debug Mode interactive debugger image (accessibility) In the Flask documentation section [“Debug Mode”](https://flask.palletsprojects.com/en/stable/quickstart/#debug-mode), there is an image demonstrating the interactive debugger with the following markup: ``` <img alt=""The interactive debugger in action.""      class=""screenshot align-center""      src=""../_images/debugger.png"">   ``` The alt text is very generic and does not clearly describe the content or purpose of the image. For users who rely on screen readers, the current alt text does not convey that this is a Flask error page shown in the browser This makes the documentation less accessible for users with visual impairments and does not fully meet the intent of WCAG 1.1.1 (Non-text Content)  **Suggested improvement** Replace the existing alt text with something more descriptive, for example: “Flask debug mode error page showing a Python traceback and an interactive debugger panel in the browser",https://github.com/pallets/flask/issues/5902,2026-01-26T14:27:03+00:00
2,pallets/flask,5901,Flask's blueprint's render templates rendering another blueprint's folder's html file !!!,"Flask's blueprint's render templates rendering another blueprint's folder's html file !!! I was learning Flask & Web Application making. I am getting the problem when i am return the render templates of a html file  in blueprint i am getting another blueprint's html file.  I am sharing the screenshots here below and say what is the problem here.  <img width=""1366"" height=""768"" alt=""Image"" src=""https://github.com/user-attachments/assets/1eeb056a-b53a-434b-ae46-e7e7712a448f"" /> See here in the render template at line 33, i wish it will render the `checking.html` file which is present in the `general_bp`'s folder.  <img width=""1366"" height=""768"" alt=""Image"" src=""https://github.com/user-attachments/assets/f5e491bc-b5b0-43f5-aa9a-0517197f2e79"" />  <img width=""1366"" height=""768"" alt=""Image"" src=""https://github.com/user-attachments/assets/1dd4ac18-26d5-4f9f-b587-a6f7256c60a1"" />  See here is the two `checking.html` file in different folder, but as i send the first image which should render the checking.html in the `general` folder it is rendering the `auth/checking.html` file.  <img width=""1366"" height=""768"" alt=""Image"" src=""https://github.com/user-attachments/assets/ad73f9b2-7e6e-4a9f-859d-6ead96b846eb"" /> As you see when i open the `/checking` route it is always giving the `auth>checking.html` file.  I am not understanding why this is happening. is this any problem or i make any mistake here which cause the problem. Or anything i am doing wrong when i am in the `routes.py` file  what the wrong, maybe in different blueprint's folder i have same file name so why it is taking another file 😢  what you can see any problem here?  Please try to give a solution to this.   Environment: Linux > Ubuntu(Xubuntu)  UV Python 3.14.0  <img width=""587"" height=""475"" alt=""Image"" src=""https://github.com/user-attachments/assets/17f49e54-707d-4c36-8616-b31e897a51ca"" />",https://github.com/pallets/flask/issues/5901,2026-01-26T04:48:05+00:00
3,pallets/flask,5897,package detection fails with namespace package in editable mode,"package detection fails with namespace package in editable mode Given a package which uses namespace packaging and has been installed using ""editable installs"", Flask's scaffold (specifically `_find_package_path`) will error if the name passed to `Flask(...)` is the package name rather than a sub-module.  This affects cases where the name is the name of the package (and thus potentially not actually the `__name__`) though also happens when using `__name__` and the app is defined within a `__init__.py` in the root of the namespaced package.  Notably the issue only appears when importing the app elsewhere -- running from a python process launched at the parent of the namespace package tree hides this.  Example project: ``` ├── flask-app │   ├── setup.py │   └── sr │       ├── comp │       │   ├── http │       │   │   ├── __init__.py │       │   └── __init__.pyi │       └── __init__.pyi └── run.py ``` The `__init__.pyi` files are empty and shouldn't be needed, however are present in my original project as typing markers.  ```python # run.py print("""") print(""run.py"") print("""")  from sr.comp.http import app  print("""") print(""/run.py"") print("""") ``` ```python # flask-app/sr/comp/http/__init__.py from flask import Flask  print(""app = Flask(__name__)"") app = Flask(__name__)  # reproduces when defined in __init__.py  print(""app = Flask('sr.comp.http')"") app = Flask(""sr.comp.http"")  # reproduces when defined in e.g: server.py and `app` is re-exported via __init__.py # this latter case was my original case  @app.route(""/"") def hello():     return ""Hello, World!"" ```  <details> <summary><code>flask-app/setup.py</code></summary>  ``` python # flask-app/setup.py from setuptools import find_namespace_packages, setup  setup(     name='sr.comp.http',     packages=find_namespace_packages(include=['sr.*']),     namespace_packages=['sr', 'sr.comp'],     install_requires=[         'Flask >=2.2',     ], ) ```  </details>  The error is: ``` Traceback (most recent call last):   File ""/home/peter/play/flask-play/run.py"", line 6, in <module>     from sr.comp.http import app   File ""/home/peter/play/flask-play/flask-app/sr/comp/http/__init__.py"", line 5, in <module>     app = Flask(__name__)           ^^^^^^^^^^^^^^^   File ""/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/flask/app.py"", line 239, in __init__     super().__init__(   File ""/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/flask/sansio/app.py"", line 304, in __init__     instance_path = self.auto_find_instance_path()                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/flask/sansio/app.py"", line 518, in auto_find_instance_path     prefix, package_path = find_package(self.import_name)                            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/flask/sansio/scaffold.py"", line 783, in find_package     package_path = _find_package_path(import_name)                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/flask/sansio/scaffold.py"", line 748, in _find_package_path     search_location = next(                       ^^^^^ StopIteration ```  I've been testing this by running the following to compare against a non-editable install: ``` shell pip install flask-app/ && python run.py && pip install -e flask-app/ && python run.py ```  I've also made some modifications to `flask/sansio/scaffold.py` to debug, which provides some insight. It looks like the issue is to do with whether or not the `package_path` is found to be relative to the `package_spec.submodule_search_locations`.  <details> <summary><code>scaffold.py</code> diff</summary>  ```diff @@ -708,7 +708,10 @@    def _find_package_path(import_name: str) -> str:      """"""Find the path that contains the package or module."""""" +    print() +    print(f""_find_package_path({import_name=})"")      root_mod_name, _, _ = import_name.partition(""."") +    print(f""_find_package_path: {root_mod_name=}"")        try:          root_spec = importlib.util.find_spec(root_mod_name) @@ -721,18 +724,27 @@          #    - the module name was invalid          #    - the module name is __main__          #    - we raised `ValueError` due to `root_spec` being `None` +        print(""CWD"")          return os.getcwd()        if root_spec.submodule_search_locations:          if root_spec.origin is None or root_spec.origin == ""namespace"":              # namespace package              package_spec = importlib.util.find_spec(import_name) +            print(f""{package_spec=}"")                if package_spec is not None and package_spec.submodule_search_locations:                  # Pick the path in the namespace that contains the submodule.                  package_path = pathlib.Path(                      os.path.commonpath(package_spec.submodule_search_locations)                  ) +                print(f""{package_path=}"") +                search_locations=[ +                    location +                    for location in root_spec.submodule_search_locations +                    if package_path.is_relative_to(location) +                ] +                print(f""{search_locations=}"")                  search_location = next(                      location                      for location in root_spec.submodule_search_locations @@ -740,14 +752,18 @@                  )              else:                  # Pick the first path. +                print(""Picking the first path"")                  search_location = root_spec.submodule_search_locations[0]   +            print(f""{os.path.dirname(search_location)=}"")              return os.path.dirname(search_location)          else:              # package with __init__.py +            print(f""package with __init__.py: {os.path.dirname(os.path.dirname(root_spec.origin))=}"")              return os.path.dirname(os.path.dirname(root_spec.origin))      else:          # module +        print(f""module: {os.path.dirname(root_spec.origin)=}"")          return os.path.dirname(root_spec.origin)  # type: ignore[type-var, return-value]     ```  </details>  <details> <summary>Full output (with scaffold printing)</summary>  ``` Processing ./flask-app   Installing build dependencies ... done   Getting requirements to build wheel ... done   Preparing metadata (pyproject.toml) ... done Requirement already satisfied: Flask>=2.2 in /home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages (from sr.comp.http==0.0.0) (3.1.2) Requirement already satisfied: blinker>=1.9.0 in /home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages (from Flask>=2.2->sr.comp.http==0.0.0) (1.9.0) Requirement already satisfied: click>=8.1.3 in /home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages (from Flask>=2.2->sr.comp.http==0.0.0) (8.3.1) Requirement already satisfied: itsdangerous>=2.2.0 in /home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages (from Flask>=2.2->sr.comp.http==0.0.0) (2.2.0) Requirement already satisfied: jinja2>=3.1.2 in /home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages (from Flask>=2.2->sr.comp.http==0.0.0) (3.1.6) Requirement already satisfied: markupsafe>=2.1.1 in /home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages (from Flask>=2.2->sr.comp.http==0.0.0) (3.0.3) Requirement already satisfied: werkzeug>=3.1.0 in /home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages (from Flask>=2.2->sr.comp.http==0.0.0) (3.1.5) Building wheels for collected packages: sr.comp.http   Building wheel for sr.comp.http (pyproject.toml) ... done   Created wheel for sr.comp.http: filename=sr_comp_http-0.0.0-py3-none-any.whl size=2244 sha256=3f8b9ef6c2be19dfe215b2c753e08eba17f1d351d8990a453ee57f25b6554bad   Stored in directory: /home/peter/.cache/pip/wheels/cd/9c/02/1c78322e6692d753ef839820d853e11679311f30eec26b3432 Successfully built sr.comp.http Installing collected packages: sr.comp.http   Attempting uninstall: sr.comp.http     Found existing installation: sr.comp.http 0.0.0     Uninstalling sr.comp.http-0.0.0:       Successfully uninstalled sr.comp.http-0.0.0 Successfully installed sr.comp.http-0.0.0  run.py  app = Flask(__name__)  _find_package_path(import_name='sr.comp.http') _find_package_path: root_mod_name='sr' package_spec=ModuleSpec(name='sr.comp.http', loader=<_frozen_importlib_external.SourceFileLoader object at 0x7b2244ea6c50>, origin='/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/sr/comp/http/__init__.py', submodule_search_locations=['/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/sr/comp/http']) package_path=PosixPath('/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/sr/comp/http') search_locations=['/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/sr'] os.path.dirname(search_location)='/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages' app = Flask('sr.comp.http')  _find_package_path(import_name='sr.comp.http') _find_package_path: root_mod_name='sr' package_spec=ModuleSpec(name='sr.comp.http', loader=<_frozen_importlib_external.SourceFileLoader object at 0x7b2244ea6c50>, origin='/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/sr/comp/http/__init__.py', submodule_search_locations=['/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/sr/comp/http']) package_path=PosixPath('/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/sr/comp/http') search_locations=['/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/sr'] os.path.dirname(search_location)='/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages'  /run.py  Obtaining file:///home/peter/play/flask-play/flask-app   Installing build dependencies ... done   Checking if build backend supports build_editable ... done   Getting requirements to build editable ... done   Preparing editable metadata (pyproject.toml) ... done Requirement already satisfied: Flask>=2.2 in /home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages (from sr.comp.http==0.0.0) (3.1.2) Requirement already satisfied: blinker>=1.9.0 in /home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages (from Flask>=2.2->sr.comp.http==0.0.0) (1.9.0) Requirement already satisfied: click>=8.1.3 in /home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages (from Flask>=2.2->sr.comp.http==0.0.0) (8.3.1) Requirement already satisfied: itsdangerous>=2.2.0 in /home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages (from Flask>=2.2->sr.comp.http==0.0.0) (2.2.0) Requirement already satisfied: jinja2>=3.1.2 in /home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages (from Flask>=2.2->sr.comp.http==0.0.0) (3.1.6) Requirement already satisfied: markupsafe>=2.1.1 in /home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages (from Flask>=2.2->sr.comp.http==0.0.0) (3.0.3) Requirement already satisfied: werkzeug>=3.1.0 in /home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages (from Flask>=2.2->sr.comp.http==0.0.0) (3.1.5) Building wheels for collected packages: sr.comp.http   Building editable for sr.comp.http (pyproject.toml) ... done   Created wheel for sr.comp.http: filename=sr_comp_http-0.0.0-0.editable-py3-none-any.whl size=3459 sha256=a216bf634bddcae47327c746fe989a8a4115384810f305d565bb098311dbaeaa   Stored in directory: /tmp/pip-ephem-wheel-cache-6dk2qx5_/wheels/cd/9c/02/1c78322e6692d753ef839820d853e11679311f30eec26b3432 Successfully built sr.comp.http Installing collected packages: sr.comp.http   Attempting uninstall: sr.comp.http     Found existing installation: sr.comp.http 0.0.0     Uninstalling sr.comp.http-0.0.0:       Successfully uninstalled sr.comp.http-0.0.0 Successfully installed sr.comp.http-0.0.0  run.py  app = Flask(__name__)  _find_package_path(import_name='sr.comp.http') _find_package_path: root_mod_name='sr' package_spec=ModuleSpec(name='sr.comp.http', loader=<_frozen_importlib_external.SourceFileLoader object at 0x7e0760a89f90>, origin='/home/peter/play/flask-play/flask-app/sr/comp/http/__init__.py', submodule_search_locations=['/home/peter/play/flask-play/flask-app/sr/comp/http']) package_path=PosixPath('/home/peter/play/flask-play/flask-app/sr/comp/http') search_locations=[] Traceback (most recent call last):   File ""/home/peter/play/flask-play/run.py"", line 6, in <module>     from sr.comp.http import app   File ""/home/peter/play/flask-play/flask-app/sr/comp/http/__init__.py"", line 5, in <module>     app = Flask(__name__)           ^^^^^^^^^^^^^^^   File ""/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/flask/app.py"", line 239, in __init__     super().__init__(   File ""/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/flask/sansio/app.py"", line 304, in __init__     instance_path = self.auto_find_instance_path()                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/flask/sansio/app.py"", line 518, in auto_find_instance_path     prefix, package_path = find_package(self.import_name)                            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/flask/sansio/scaffold.py"", line 783, in find_package     package_path = _find_package_path(import_name)                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/home/peter/.virtualenvs/flask-play/lib/python3.11/site-packages/flask/sansio/scaffold.py"", line 748, in _find_package_path     search_location = next(                       ^^^^^ StopIteration  ```  </details>   Environment:  - Python version: 3.11 (and others) - Flask version: 3.1.2, also 2.x",https://github.com/pallets/flask/issues/5897,2026-01-24T19:34:47+00:00
4,pallets/flask,5887,Add explicit support for async teardown_request handlers,"Add explicit support for async teardown_request handlers ### Summary  At the moment, `teardown_request` handlers in Flask are synchronous and cannot be defined as async functions. This makes it harder for apps that depend on async cleanup logic (e.g., closing async DB connections or awaiting async tasks) to integrate cleanly with Flask’s request lifecycle.  ### Problem  When users attempt to define an async teardown handler like:  ```python @app.teardown_request async def cleanup_async_resources(response):     await close_async_connections() ```  Flask does not await it and treats it as a regular function, leading to unawaited coroutine warnings and the async cleanup not running as intended.  ### Proposed Solution Make teardown handlers awaitable - if a handler is declared async, Flask should await it during the teardown phase.  ### Example ```python @app.teardown_request async def cleanup_async_resources(response):     await some_async_cleanup()  # should be awaited before response is finalized ```  ### Motivation Better async integration support as more frameworks and applications adopt async patterns. This would make Flask’s async support more complete and intuitive.  ### Environment  ```python Flask version: (e.g., 3.2.x) Python version: 3.9+ ```  Async libs used: Any  ### Thanks!",https://github.com/pallets/flask/issues/5887,2026-01-13T07:40:27+00:00
5,pallets/flask,5881,asgiref fails with gevent patching,"asgiref fails with gevent patching When `gevent.monkey.patch_all()` is used, `async def` functions fail when multiple concurrent requests are sent. asgiref gives the error `RuntimeError: You cannot use AsyncToSync in the same thread as an async event loop - just await the async function directly.`. This suggests that somehow, gevent is causing a running loop to be visible across threads.  `example.py`:  ```python # /// script # requires-python = ""~=3.14.0"" # dependencies = [ #     ""flask[async]"", #     ""gevent"", # ] # # [tool.uv] # exclude-newer = ""2026-01-05T00:00:00Z"" # # [tool.uv.sources] # flask = { path = ""."", editable = true } # ///  import gevent.monkey gevent.monkey.patch_all()  import asyncio  from flask import Flask  app = Flask(__name__)  @app.get(""/"") async def hello_world():     await asyncio.sleep(0.5)     return f""Hello, World!"" ```  ``` uv run --with-requirements example.py flask -A example.py run ```  `load.py`:  ```python # /// script # requires-python = ""~=3.14.0"" # dependencies = [ #     ""httpx"", # ] # # [tool.uv] # exclude-newer = ""2026-01-05"" # ///  import asyncio import httpx  async def get(i, client: httpx.AsyncClient):     r = await client.get(""http://127.0.0.1:5000"")     print(i, await r.aread())  async def main():     async with httpx.AsyncClient() as client, asyncio.TaskGroup() as group:         for i in range(50):             group.create_task(get(i, client))  asyncio.run(main()) ```  ``` uv run load.py ```  Continues #5817 with more details.",https://github.com/pallets/flask/issues/5881,2026-01-05T18:52:04+00:00
6,pallets/flask,5870,Teardown handler chain exception handling,"Teardown handler chain exception handling Flask executes registered teardown handlers (used for closing DB connections, releasing locks, etc.) in a chain. The do_teardown_request method which is supposed to make these teardown requests does not wrap individual handlers in a try/except block. If one handler raises an exception, the loop terminates immediately, and all subsequent handlers are skipped, this can lead to the application to skip critical cleanup routines if a non critical one fails.  Sample reproduction code ```python import threading import time import requests from flask import Flask  app = Flask(__name__)  #a simulation of a limited resource pool mock_db_connections = 0  @app.route('/') def index():     global mock_db_connections     mock_db_connections = mock_db_connections + 1     return ""Request Processed""  #simulating a critical teardown handler which is supposed to free resources from the db @app.teardown_request def critical_db_close(exc):     global mock_db_connections     mock_db_connections = mock_db_connections - 1  #teardown handler which can crash @app.teardown_request def buggy_extension(exc):     raise Exception(""Crash in buggy extension!"")  def run_server():     #just for clearner output     import logging     log = logging.getLogger('werkzeug')     log.setLevel(logging.ERROR)     app.logger.disabled = True          app.run(port=5000, threaded=True)  def verify_bug():          print(f""Initial DB Connections: {mock_db_connections}"")          try:         requests.get('http://127.0.0.1:5000/')     except Exception:         pass      #wait time to ensure teardown has happened in the other thread     time.sleep(1)          print(f""Final DB Connections: {mock_db_connections}"")          if mock_db_connections > 0:         print(""Teardown Chain Broken"")     else:         print(""Failed to reproduce"")  server_thread = threading.Thread(target=run_server, daemon=True) server_thread.start() verify_bug() ```",https://github.com/pallets/flask/issues/5870,2025-12-24T15:27:55+00:00
7,pallets/flask,5863,Modern CSRF Protection Using `Sec-Fetch-Site` Header,"Modern CSRF Protection Using `Sec-Fetch-Site` Header Flask's documentation states that CSRF protection requires a form validation framework (which Flask doesn't provide), necessitating one-time tokens stored in cookies and transmitted with form data. However, modern browsers now support `Sec-Fetch-Site` headers, making token-based CSRF protection unnecessary. Rails just merged this approach in [rails/rails#56350](https://github.com/rails/rails/pull/56350). Flask should offer a similar modern solution—but in a more Flask-like way: as a simple argument to `@app.route()`.  ## Current State  From Flask's security documentation:  > ""Why does Flask not do that for you? The ideal place for this to happen is the form validation framework, which does not exist in Flask.""  This was written when CSRF tokens were the only viable protection mechanism. That's no longer true. And with header-based protection, no form validation framework is needed—just a simple check before dispatching to the view.  ## The Modern Approach  The `Sec-Fetch-Site` header is a [Fetch Metadata Request Header](https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Sec-Fetch-Site) that modern browsers send automatically. It indicates the relationship between the request origin and the target origin:  - `same-origin`: Request from the same origin (same scheme, host, and port) - `same-site`: Request from the same site but different origin - `cross-site`: Request from a completely different site - `none`: User-initiated navigation (typing URL, bookmark, etc.)  For state-changing requests (POST, PUT, DELETE, PATCH), we can simply reject requests where `Sec-Fetch-Site` is `cross-site`. No tokens needed.  **Browser Support:** All modern browsers (Chrome 76+, Firefox 90+, Safari 16.4+, Edge 79+) - [caniuse.com/mdn-http_headers_sec-fetch-site](https://caniuse.com/mdn-http_headers_sec-fetch-site)  ## Why This Matters  Token-based CSRF has significant operational pain:  1. **Caching conflicts**: Cached pages contain stale tokens → false positives 2. **Session expiry edge cases**: Token/session mismatch after timeout 3. **SPA complexity**: Managing token refresh in JavaScript applications 4. **Multi-tab issues**: Tokens invalidated when user opens multiple tabs  Header-based protection eliminates all of these.  ## Proposed Flask Implementation  Rather than adding another extension, this should be a first-class citizen in Flask's routing. The implementation is simple enough that it belongs in core—just an argument to `@app.route()`:  ```python from flask import Flask  app = Flask(__name__) app.config['CSRF_TRUSTED_ORIGINS'] = ['https://accounts.google.com']  # Protected by default for state-changing methods @app.route('/api/data', methods=['POST']) def create_data():     return {'status': 'ok'}  # Explicitly disable for webhooks that use signature verification @app.route('/webhooks/stripe', methods=['POST'], csrf=False) def stripe_webhook():     return {'received': True}  # GET requests are never protected (no state change) @app.route('/api/data', methods=['GET']) def get_data():     return {'data': []} ```  ## Configuration  ```python # Default configuration in Flask CSRF_ENABLED = True                    # Global kill switch CSRF_TRUSTED_ORIGINS = []              # Allow cross-origin from these origins CSRF_PROTECTED_METHODS = {'POST', 'PUT', 'PATCH', 'DELETE'} ```  Note: Unlike my earlier draft, `same-site` requests are **rejected by default**. This is intentional—different subdomains often have different trust levels (e.g., `marketing.example.com` vs `admin.example.com`). If you need same-site requests, add the specific origin to `CSRF_TRUSTED_ORIGINS`.   ## Questions for Maintainers  1. **Default On vs Off**: Should CSRF protection be on by default for state-changing methods (proposed), or require explicit `csrf=True`?  2. **Same-site Policy**: The algorithm rejects `same-site` requests by default (per Filippo Valsorda's guidance). Should there be a config option to relax this, or is explicit `CSRF_TRUSTED_ORIGINS` sufficient?  3. **Werkzeug Level**: Should the core check logic live in Werkzeug so other frameworks (Bottle, etc.) can use it?  ## References  - [MDN: Sec-Fetch-Site](https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Sec-Fetch-Site) - [web.dev: Fetch Metadata](https://web.dev/articles/fetch-metadata) - [Rails PR #56350](https://github.com/rails/rails/pull/56350) - Rails implementation (merged Dec 2025) - [Rack Issue #2367](https://github.com/rack/rack/issues/2367) - Rack-level discussion - [Go proposal: CrossOriginForgeryHandler](https://github.com/golang/go/issues/73626) - [Blog from go author](https://words.filippo.io/csrf/) - [OWASP Fetch Metadata positioning](https://github.com/OWASP/CheatSheetSeries/pull/1875)  ## Willingness to Implement  I'm prepared to submit a PR implementing this. The change is small and self-contained.",https://github.com/pallets/flask/issues/5863,2025-12-15T16:29:24+00:00
8,pallets/flask,5861,Proposal: CLI command to validate API endpoints by making test requests,"Proposal: CLI command to validate API endpoints by making test requests ### Motivation  When working on Flask applications with many API endpoints, it is sometimes useful to quickly check whether all registered routes can be accessed without raising unexpected errors (e.g. unhandled exceptions, 500 errors).  At the moment, developers typically need to write custom scripts or tests to perform this kind of basic validation. Providing an opt-in CLI command could help improve developer experience, especially during local development.  ### Proposal  Introduce an optional Flask CLI command (for example, `flask check-endpoints`) that iterates over registered routes and makes test requests using Flask’s test client.  The goal would not be full correctness testing, but a lightweight sanity check to detect obvious runtime errors.  Possible initial scope: - Only routes with simple methods (e.g. GET by default) - Skip routes with required path parameters - Report endpoints that raise exceptions or return 5xx responses - Development-only usage  ### Design considerations  - The command should be fully opt-in and not affect existing behavior. - No network requests; use Flask’s built-in test client. - Keep output simple and readable (similar to `flask routes`). - Advanced features (custom payloads, auth, etc.) could be out of scope initially.  ### Open questions  - Should this live as a core CLI command or as an optional extension? - How should endpoints with required parameters or authentication be handled? - Should the command fail on the first error or report all failures?  Feedback on the general direction and scope would be appreciated before starting an implementation.",https://github.com/pallets/flask/issues/5861,2025-12-13T10:43:23+00:00
9,pallets/flask,5851,Add Copy-to-Clipboard button for code examples in documentation,"Add Copy-to-Clipboard button for code examples in documentation ### Feature Request: Add copy button to code blocks in documentation  #### Problem  Many pages in the Flask documentation contain multi-line code snippets, but there is no built-in way to copy the entire block with one click. Users currently need to manually select text, which is slower and error-prone.  #### Proposed Solution  Add a small ""Copy"" button to each `div.highlight` element using a small JavaScript file included via Sphinx.  - Implemented using the native Clipboard API (no external library) - Minimal UI impact - Applied only to docs frontend, not core package  #### Motivation & Benefits  - Easier copy-paste for beginners following tutorials - Consistent with other frameworks (FastAPI, Django, Click docs, etc.) - Improves developer experience without affecting core Flask code  #### Status  I have already implemented a working version locally and can submit a PR once approved.  Let me know if this is useful and if I should proceed with a pull request.",https://github.com/pallets/flask/issues/5851,2025-11-21T08:56:06+00:00
